,mean_expression,variance,cv,samples_expressed,max_expression,detection_rate
ENSG00000000419,90.0,7188.666666666667,0.9420667236119408,7,238.0,0.28
ENSG00000000457,64.2,1669.6666666666663,0.6364728172425465,22,156.0,1.0
ENSG00000000460,60.0,3879.5833333333335,1.0381050219885348,20,250.0,1.0
ENSG00000000938,332.1666666666667,211804.57971014487,1.3855162534300618,21,1799.0,0.96
ENSG00000001036,358.68,61771.89333333334,0.6929282944685307,25,814.0,1.0
ENSG00000001084,118.28,8154.376666666667,0.7634560980723886,24,316.0,1.0
ENSG00000001167,133.2,7321.416666666667,0.6423819611037367,24,344.0,1.0
ENSG00000001460,23.782608695652176,324.1778656126483,0.7570632917698557,15,62.0,0.92
ENSG00000001461,89.8,4201.166666666667,0.721786273726324,23,268.0,1.0
ENSG00000001497,159.64,8722.490000000002,0.5850305172081033,25,318.0,1.0
ENSG00000001561,230.84,52165.22333333333,0.9894172319286662,24,949.0,1.0
ENSG00000001629,160.64,13105.656666666668,0.7126490289560059,25,413.0,1.0
ENSG00000001631,126.24,7819.94,0.7004944916161765,21,279.0,1.0
ENSG00000002016,75.72,3239.293333333333,0.7516480467918744,24,248.0,1.0
ENSG00000002330,21.0,229.83333333333334,0.7219169070382507,18,54.0,1.0
ENSG00000002549,1109.32,1357347.726666667,1.0502403915803897,25,4322.0,1.0
ENSG00000002586,1238.2,939647.5833333334,0.782873695217984,25,4089.0,1.0
ENSG00000002587,71.12,4091.6933333333345,0.8994143041189692,21,224.0,1.0
ENSG00000002834,590.52,218371.76000000004,0.7913409246536456,25,1765.0,1.0
ENSG00000002919,101.2,4241.500000000001,0.6435454485463457,24,229.0,1.0
ENSG00000002933,536.8,212311.66666666666,0.8583697865009072,25,1737.0,1.0
ENSG00000003056,740.08,318155.3266666666,0.7621508378863914,25,1982.0,1.0
ENSG00000003147,52.4,1672.3333333333333,0.780423136567873,22,177.0,1.0
ENSG00000003393,67.96,2394.7900000000004,0.7200793351840321,23,166.0,1.0
ENSG00000003400,220.36,25012.73999999999,0.7177081379893029,24,643.0,1.0
ENSG00000003402,497.96,93087.12333333334,0.6127034792489763,25,1348.0,1.0
ENSG00000003509,42.64,1116.49,0.7836285001751427,21,127.0,1.0
ENSG00000003756,565.6,133436.16666666666,0.6458436259988479,25,1399.0,1.0
ENSG00000004059,135.68,6763.81,0.6061496584590597,25,286.0,1.0
ENSG00000004139,48.333333333333336,1583.1014492753616,0.8232042911683476,21,195.0,0.96
ENSG00000004142,215.08,21692.659999999996,0.6847883714396883,25,515.0,1.0
ENSG00000004399,837.32,229183.80999999994,0.5717425347122819,25,1754.0,1.0
ENSG00000004455,570.52,141935.84333333335,0.660351498538922,25,1449.0,1.0
ENSG00000004478,388.68,248294.72666666668,1.2820104166319277,25,2193.0,1.0
ENSG00000004487,152.8,11306.666666666666,0.6958953590252034,25,338.0,1.0
ENSG00000004534,597.28,151734.62666666662,0.6521753465570655,25,1384.0,1.0
ENSG00000004660,117.32,6793.9766666666665,0.7025705982889454,23,299.0,1.0
ENSG00000004700,112.12,7122.193333333333,0.7527032481008826,25,352.0,1.0
ENSG00000004766,103.08,4364.160000000001,0.6408788247170194,23,228.0,1.0
ENSG00000004777,49.4,1391.1666666666663,0.7550272610115,22,152.0,1.0
ENSG00000004779,87.8695652173913,3001.209486166008,0.6234615539947214,22,199.0,0.92
ENSG00000004799,818.72,1946255.9600000002,1.7039803338002357,25,5728.0,1.0
ENSG00000004864,63.36,2227.6566666666663,0.7449188425220813,23,151.0,1.0
ENSG00000004866,24.36,337.0733333333333,0.7536763955298525,18,83.0,1.0
ENSG00000004897,244.4,31392.91666666667,0.7249609801590022,24,664.0,1.0
ENSG00000004948,64.0,10495.875,1.6007715269897524,11,409.0,0.68
ENSG00000004961,83.8,4348.416666666665,0.7869036452509123,24,233.0,1.0
ENSG00000004975,143.56,12859.090000000002,0.7898991896263581,24,456.0,1.0
ENSG00000005007,591.16,158307.3066666667,0.6730470725575877,25,1601.0,1.0
ENSG00000005020,1123.2,638479.7499999999,0.7114042724569734,25,3179.0,1.0
ENSG00000005022,524.48,139674.84333333335,0.7125743159171528,25,1617.0,1.0
ENSG00000005059,47.5,2448.4347826086955,1.041719180278825,21,202.0,0.96
ENSG00000005075,56.92,1494.243333333333,0.6791188293534929,23,142.0,1.0
ENSG00000005100,69.36,3291.656666666666,0.8271764864896626,24,214.0,1.0
ENSG00000005156,89.2,3625.9999999999986,0.6750703684142116,22,214.0,1.0
ENSG00000005175,148.4,11620.583333333334,0.7264070721696222,24,447.0,1.0
ENSG00000005194,86.44,3476.423333333334,0.6821055289883071,23,181.0,1.0
ENSG00000005206,121.48,5477.426666666666,0.6092331166099221,24,295.0,1.0
ENSG00000005238,202.84,16707.140000000003,0.6372318199767143,24,452.0,1.0
ENSG00000005243,17.818181818181817,211.6796536796537,0.8165375694442001,13,52.0,0.88
ENSG00000005249,6.0,18.545454545454547,0.7177405613690391,2,14.0,0.48
ENSG00000005302,238.04,20259.373333333333,0.5979475106180185,25,554.0,1.0
ENSG00000005339,342.36,53748.57333333333,0.6771742771694756,25,927.0,1.0
ENSG00000005436,45.34782608695652,1161.2371541501977,0.7514567482761919,20,137.0,0.92
ENSG00000005469,35.72727272727273,908.5887445887447,0.8436917665939366,17,128.0,0.88
ENSG00000005471,50.0,2177.9166666666665,0.9333630945769176,20,167.0,1.0
ENSG00000005483,393.88,60137.35999999999,0.6225987582709697,25,943.0,1.0
ENSG00000005486,178.4,15884.833333333334,0.7064744844648244,24,484.0,1.0
ENSG00000005700,205.64,22718.906666666666,0.7329698630792001,25,525.0,1.0
ENSG00000005801,113.24,5316.69,0.6439035338816282,24,239.0,1.0
ENSG00000005810,450.48,87159.17666666668,0.6553616819409562,25,1103.0,1.0
ENSG00000005812,275.2,42580.166666666664,0.7498169418512165,25,767.0,1.0
ENSG00000005844,656.44,225451.34,0.7233214990016683,25,1647.0,1.0
ENSG00000005882,45.608695652173914,2178.7035573122525,1.023414153847144,18,198.0,0.92
ENSG00000005884,3.8,10.400000000000002,0.8486587081139034,1,11.0,0.4
ENSG00000005889,118.52,6993.843333333335,0.7056125669253684,24,278.0,1.0
ENSG00000005893,1860.64,1689467.9066666665,0.6985743252858739,25,4672.0,1.0
ENSG00000006007,330.44,58135.25666666666,0.7296711639480571,24,822.0,1.0
ENSG00000006015,190.68,12138.393333333335,0.5777972358436365,24,503.0,1.0
ENSG00000006025,116.48,7135.676666666666,0.7252140669145489,23,344.0,1.0
ENSG00000006042,1.2,0.20000000000000007,0.3726779931443151,0,2.0,0.2
ENSG00000006062,124.24,10251.439999999999,0.8149500567592701,23,394.0,1.0
ENSG00000006125,448.96,109595.29,0.7373748073848171,25,1317.0,1.0
ENSG00000006194,93.48,4104.260000000001,0.6853283990420844,24,216.0,1.0
ENSG00000006282,332.36,50046.24,0.67309594906869,25,892.0,1.0
ENSG00000006327,69.41666666666667,3025.81884057971,0.7924241559710569,21,195.0,0.96
ENSG00000006432,23.363636363636363,266.71861471861473,0.6990145650992277,15,49.0,0.88
ENSG00000006451,88.2,4185.25,0.7334864871627184,24,215.0,1.0
ENSG00000006453,7.75,43.13333333333333,0.8474318991374447,3,22.0,0.64
ENSG00000006459,230.08,36140.243333333325,0.826259883528926,25,765.0,1.0
ENSG00000006468,24.91304347826087,705.1739130434781,1.0659119540069086,13,117.0,0.92
ENSG00000006530,153.76,14361.273333333336,0.7793869032633052,25,480.0,1.0
ENSG00000006534,169.04,14300.956666666665,0.7074456186779625,24,455.0,1.0
ENSG00000006576,98.56,5460.506666666668,0.7497487942002192,24,257.0,1.0
ENSG00000006607,85.04,3606.2066666666665,0.7061582777648395,24,236.0,1.0
ENSG00000006625,41.36,971.1566666666668,0.7534667947083338,20,125.0,1.0
ENSG00000006652,150.0,26822.083333333332,1.0918299283467396,24,717.0,1.0
ENSG00000006695,26.76,536.5233333333334,0.8655819625576384,17,98.0,1.0
ENSG00000006704,63.16,1550.8899999999996,0.6235171113531272,23,151.0,1.0
ENSG00000006712,219.92,23401.74333333333,0.6955996887866459,24,641.0,1.0
ENSG00000006715,233.84,26401.139999999996,0.6948523612529626,25,610.0,1.0
ENSG00000006740,6.5,20.944444444444443,0.7040784716217244,3,14.0,0.4
ENSG00000006744,249.2,26765.749999999996,0.6565104911759504,25,546.0,1.0
ENSG00000006747,1375.04,1081167.3733333335,0.7561903548986328,25,3636.0,1.0
ENSG00000006756,193.72,23388.376666666667,0.789451727376195,25,546.0,1.0
ENSG00000006757,36.625,410.5054347826087,0.553199555058397,21,74.0,0.96
ENSG00000006831,275.56,43164.59,0.7539588337093281,25,794.0,1.0
ENSG00000007047,70.32,2708.1433333333334,0.7400430103282511,23,177.0,1.0
ENSG00000007080,129.12,8010.943333333333,0.6931836530346455,24,334.0,1.0
ENSG00000007129,110.0,8669.833333333334,0.8464721799237563,23,285.0,1.0
ENSG00000007168,352.88,66510.02666666666,0.7308302519193433,25,931.0,1.0
ENSG00000007202,490.6,112819.99999999996,0.6846450992970199,25,1169.0,1.0
ENSG00000007237,168.32,15661.393333333333,0.7434974373698382,24,487.0,1.0
ENSG00000007255,27.916666666666668,256.2536231884058,0.5734181644241403,19,57.0,0.96
ENSG00000007264,78.69565217391305,10775.312252964424,1.3190589141602151,20,458.0,0.92
ENSG00000007341,44.08,923.2433333333335,0.6893130557676629,20,113.0,1.0
ENSG00000007376,78.32,3465.1433333333334,0.7516019928683886,21,195.0,1.0
ENSG00000007384,6.5,51.0,1.098681295008621,1,17.0,0.16
ENSG00000007392,221.44,17693.17333333333,0.6006850085430705,25,513.0,1.0
ENSG00000007516,3.3333333333333335,5.866666666666667,0.7266360828034898,0,7.0,0.24
ENSG00000007520,47.791666666666664,1339.5634057971017,0.765824861787515,21,125.0,0.96
ENSG00000007541,67.2,2856.9166666666674,0.7953888767036998,24,202.0,1.0
ENSG00000007545,42.12,1322.443333333333,0.8633763998829357,19,144.0,1.0
ENSG00000007923,91.96,3946.8733333333344,0.6831681828433677,23,230.0,1.0
ENSG00000007944,62.92,2660.6600000000003,0.8197963422349837,21,227.0,1.0
ENSG00000008018,300.0,36212.333333333336,0.6343179480610929,24,665.0,1.0
ENSG00000008083,87.04,3599.956666666667,0.6893340864075007,24,211.0,1.0
ENSG00000008086,26.48,495.1766666666665,0.8403536777482744,17,90.0,1.0
ENSG00000008128,16.130434782608695,206.30039525691697,0.8904385549112743,12,56.0,0.92
ENSG00000008130,213.4,23194.749999999996,0.7136749164280043,24,615.0,1.0
ENSG00000008226,41.0,1008.2857142857143,0.7744759752021356,19,123.0,0.88
ENSG00000008256,308.6,124931.58333333336,1.1453552221674914,25,1450.0,1.0
ENSG00000008282,558.08,171417.32666666666,0.7418752795928998,25,1490.0,1.0
ENSG00000008283,35.78260869565217,875.2687747035573,0.8267966690669214,20,100.0,0.92
ENSG00000008294,385.44,73806.34,0.7048392040725583,25,1013.0,1.0
ENSG00000008300,12.75,55.46052631578947,0.5840927400453917,9,25.0,0.8
ENSG00000008311,63.291666666666664,2340.041666666668,0.7643024698837586,19,207.0,0.96
ENSG00000008324,45.92,1056.66,0.7078899623963446,22,124.0,1.0
ENSG00000008382,23.73913043478261,351.11067193675893,0.7893274533150874,16,70.0,0.92
ENSG00000008405,65.6,2553.3333333333335,0.7702822991361238,23,171.0,1.0
ENSG00000008441,46.291666666666664,712.3025362318841,0.5765399791049046,23,95.0,0.96
ENSG00000008513,379.32,110701.97666666668,0.8771461185035577,24,1236.0,1.0
ENSG00000008516,50.0,15484.0,2.488694436350626,3,381.0,0.36
ENSG00000008710,154.24,12783.023333333333,0.7330266669679437,25,519.0,1.0
ENSG00000008838,194.8,16336.333333333334,0.6561276511860045,24,474.0,1.0
ENSG00000008853,129.76,19399.273333333334,1.0733760338730727,23,499.0,1.0
ENSG00000008869,347.56,47297.92333333334,0.6257361531502512,25,785.0,1.0
ENSG00000008952,631.68,180541.8933333333,0.672654217634291,25,1643.0,1.0
ENSG00000008988,1160.68,590604.8099999999,0.6621189059112826,25,2928.0,1.0
ENSG00000009307,2073.84,2124830.7233333336,0.7028892832283594,25,5959.0,1.0
ENSG00000009335,157.88,12554.193333333336,0.7096877166482929,24,348.0,1.0
ENSG00000009413,77.64,2686.0733333333337,0.6675340231173855,23,218.0,1.0
ENSG00000009780,41.92,1096.9099999999996,0.7900675484867117,20,138.0,1.0
ENSG00000009790,187.04,19600.706666666672,0.7485164872716555,25,600.0,1.0
ENSG00000009830,71.48,2024.0933333333332,0.6294057749265021,23,167.0,1.0
ENSG00000009844,143.88,11800.86,0.7550164255156165,24,404.0,1.0
ENSG00000009950,1078.52,405140.8433333333,0.5901668494015295,25,2368.0,1.0
ENSG00000009954,268.8,29555.08333333333,0.6395681523997819,25,657.0,1.0
ENSG00000010017,353.88,65294.859999999986,0.7220769452676168,24,1093.0,1.0
ENSG00000010030,16.2,227.73333333333326,0.9315330902510476,4,50.0,0.4
ENSG00000010072,41.34782608695652,852.9644268774705,0.7063383370610175,19,104.0,0.92
ENSG00000010165,89.84,3758.3066666666673,0.6823801168119956,24,228.0,1.0
ENSG00000010219,89.08,3362.326666666666,0.650938178174877,25,235.0,1.0
ENSG00000010244,561.08,136874.57666666666,0.6593812692349907,25,1422.0,1.0
ENSG00000010256,351.64,57176.57333333334,0.680002940315494,25,837.0,1.0
ENSG00000010270,109.6,5265.000000000001,0.6620467128473221,24,269.0,1.0
ENSG00000010278,208.52,134236.09333333335,1.7570613914135003,23,1748.0,1.0
ENSG00000010292,108.44,8014.590000000001,0.8255647594850555,24,374.0,1.0
ENSG00000010295,465.28,136513.87666666674,0.794097840571265,25,1652.0,1.0
ENSG00000010318,17.0,115.42857142857143,0.6319864089379296,15,43.0,0.88
ENSG00000010322,340.68,49572.31,0.6535411528202469,25,830.0,1.0
ENSG00000010327,4195.96,9652147.373333335,0.7404242476419763,25,11696.0,1.0
ENSG00000010361,36.916666666666664,718.0797101449276,0.7258783569346757,18,94.0,0.96
ENSG00000010404,633.5833333333334,181693.73188405792,0.6727693971981068,21,1443.0,0.96
ENSG00000010539,55.04,1349.3733333333337,0.6674022037066354,23,144.0,1.0
ENSG00000010610,3537.24,10367666.023333335,0.9102820352709261,25,13172.0,1.0
ENSG00000010626,13.416666666666666,85.55797101449276,0.6894227463233816,16,33.0,0.96
ENSG00000010671,528.68,111242.05999999998,0.6308725482735246,25,1225.0,1.0
ENSG00000010704,91.32,5119.8933333333325,0.7835461006601315,23,301.0,1.0
ENSG00000010803,47.6,1160.6666666666665,0.7157260151802386,21,113.0,1.0
ENSG00000010810,5.916666666666667,20.81060606060606,0.7710193201372414,2,15.0,0.48
ENSG00000010818,98.26086956521739,16992.201581027664,1.3266129199297525,20,569.0,0.92
ENSG00000010932,3.238095238095238,5.69047619047619,0.7366898495053522,0,7.0,0.84
ENSG00000011007,150.88,12809.94333333333,0.7501393172833094,25,422.0,1.0
ENSG00000011009,120.88,7359.110000000001,0.7096728585059314,23,291.0,1.0
ENSG00000011021,226.64,25815.906666666666,0.7089361617361343,25,723.0,1.0
ENSG00000011028,824.64,780638.7400000001,1.0714222302305225,25,3556.0,1.0
